Time,Open,High,Low,Close,Volume
05.11.2012 11:19:00,1.27931,1.27935,1.27909,1.27932,332.51
05.11.2012 11:20:00,1.2793,1.27931,1.27923,1.27926,70.49
05.11.2012 11:21:00,1.27927,1.27945,1.27923,1.27942,174.88
05.11.2012 11:22:00,1.27942,1.27943,1.27916,1.27921,123.14
05.11.2012 11:23:00,1.27922,1.27925,1.27919,1.27922,75.09
05.11.2012 11:24:00,1.27918,1.27918,1.2789,1.27893,218.67
05.11.2012 11:25:00,1.27892,1.27896,1.27882,1.27882,177.4
05.11.2012 11:26:00,1.27882,1.27901,1.27882,1.27896,213.31
05.11.2012 11:27:00,1.27896,1.27907,1.27889,1.27903,267.63
05.11.2012 11:28:00,1.27905,1.27925,1.27902,1.27924,106.94
05.11.2012 11:29:00,1.27922,1.27922,1.27914,1.27916,38.07
05.11.2012 11:30:00,1.27913,1.27914,1.27902,1.27907,177.51
05.11.2012 11:31:00,1.27907,1.27907,1.2788,1.27894,202.3
05.11.2012 11:32:00,1.27895,1.27911,1.27895,1.27901,111.41
05.11.2012 11:33:00,1.27902,1.27911,1.27893,1.27895,153.25
05.11.2012 11:34:00,1.27898,1.27903,1.27885,1.27895,166.55
05.11.2012 11:35:00,1.27895,1.27906,1.27884,1.27884,119.51
05.11.2012 11:36:00,1.27879,1.27886,1.27877,1.27886,78.45
05.11.2012 11:37:00,1.27888,1.27898,1.27885,1.27896,78.74
05.11.2012 11:38:00,1.27896,1.27907,1.27894,1.27894,109.02
05.11.2012 11:39:00,1.27894,1.27894,1.27856,1.27856,215.24
05.11.2012 11:40:00,1.27857,1.27857,1.2783,1.27842,250.45
05.11.2012 11:41:00,1.27842,1.27848,1.2784,1.27843,69.04
05.11.2012 11:42:00,1.27844,1.27847,1.2784,1.27847,154.24
05.11.2012 11:43:00,1.27846,1.27847,1.27829,1.27838,186.23
05.11.2012 11:44:00,1.27835,1.27837,1.27829,1.27836,82.3
05.11.2012 11:45:00,1.27835,1.27851,1.2783,1.27849,190.14
05.11.2012 11:46:00,1.27847,1.2787,1.2784,1.27869,170.22
05.11.2012 11:47:00,1.27869,1.27877,1.27855,1.27857,140.03
05.11.2012 11:48:00,1.27857,1.27871,1.27856,1.27868,174.92
05.11.2012 11:49:00,1.27869,1.27875,1.27858,1.27863,79.74
05.11.2012 11:50:00,1.27863,1.27875,1.27863,1.27874,49.55
05.11.2012 11:51:00,1.27875,1.27876,1.27864,1.27875,81.35
05.11.2012 11:52:00,1.27876,1.27887,1.27876,1.27884,114.84
05.11.2012 11:53:00,1.27888,1.2789,1.27882,1.27885,97.47
05.11.2012 11:54:00,1.27885,1.2789,1.27884,1.27886,85.43
05.11.2012 11:55:00,1.27886,1.27889,1.27875,1.27875,107.15
05.11.2012 11:56:00,1.27874,1.27883,1.27872,1.27883,86.28
05.11.2012 11:57:00,1.27876,1.27877,1.2786,1.27867,77.39
05.11.2012 11:58:00,1.27867,1.27874,1.27859,1.27874,72.39
05.11.2012 11:59:00,1.27873,1.27896,1.27865,1.27896,184.97
05.11.2012 12:00:00,1.27895,1.27897,1.27887,1.27896,104.23
05.11.2012 12:01:00,1.27896,1.27897,1.27875,1.27875,113.47
05.11.2012 12:02:00,1.27872,1.27888,1.27865,1.27886,169.46
05.11.2012 12:03:00,1.27887,1.27887,1.27882,1.27884,66.07
05.11.2012 12:04:00,1.27886,1.27892,1.27875,1.2788,137.89
05.11.2012 12:05:00,1.2788,1.27884,1.27874,1.27877,137.39
05.11.2012 12:06:00,1.27877,1.27882,1.27848,1.27855,187.84
05.11.2012 12:07:00,1.27857,1.27864,1.27851,1.27864,89.25
05.11.2012 12:08:00,1.27863,1.27874,1.27861,1.27862,140.15
05.11.2012 12:09:00,1.27861,1.27862,1.27838,1.27847,213.56
05.11.2012 12:10:00,1.27849,1.27855,1.27847,1.27848,141.21
05.11.2012 12:11:00,1.27849,1.27857,1.27846,1.27855,119.12
05.11.2012 12:12:00,1.27855,1.27855,1.27838,1.27842,103.21
05.11.2012 12:13:00,1.27839,1.2785,1.27836,1.27839,150.56
05.11.2012 12:14:00,1.27839,1.27839,1.27812,1.27818,227.93
05.11.2012 12:15:00,1.27817,1.27843,1.27816,1.27843,107.98
05.11.2012 12:16:00,1.27843,1.27847,1.2783,1.27837,164.93
05.11.2012 12:17:00,1.27837,1.27845,1.27833,1.27835,112.27
05.11.2012 12:18:00,1.27836,1.27839,1.27822,1.27828,191.04
05.11.2012 12:19:00,1.27825,1.27835,1.27823,1.27831,191.58
05.11.2012 12:20:00,1.2783,1.27838,1.27825,1.27838,326
05.11.2012 12:21:00,1.27839,1.27846,1.27836,1.27846,116.29
05.11.2012 12:22:00,1.27846,1.27857,1.27846,1.27856,52.15
05.11.2012 12:23:00,1.27855,1.27862,1.27838,1.27844,169.29
05.11.2012 12:24:00,1.27847,1.27857,1.27844,1.27855,103.95
05.11.2012 12:25:00,1.27856,1.27867,1.27856,1.2786,112.03
05.11.2012 12:26:00,1.2786,1.2786,1.27838,1.27848,144.54
05.11.2012 12:27:00,1.27847,1.27847,1.27839,1.27845,105.8
05.11.2012 12:28:00,1.27843,1.27843,1.2782,1.27825,179.48
05.11.2012 12:29:00,1.27825,1.27825,1.27815,1.27822,173.36
05.11.2012 12:30:00,1.27822,1.27826,1.27791,1.27794,161.33
05.11.2012 12:31:00,1.27787,1.27803,1.27771,1.27795,315.03
05.11.2012 12:32:00,1.27796,1.27797,1.277,1.2772,263.25
05.11.2012 12:33:00,1.27722,1.2773,1.2769,1.277,406.06
05.11.2012 12:34:00,1.277,1.27732,1.27698,1.27723,286.97
05.11.2012 12:35:00,1.27724,1.27724,1.2767,1.27684,361.74
05.11.2012 12:36:00,1.27685,1.27725,1.27685,1.27717,279.78
05.11.2012 12:37:00,1.27716,1.27736,1.27715,1.27728,156.79
05.11.2012 12:38:00,1.27727,1.27735,1.2772,1.27732,118.68
05.11.2012 12:39:00,1.27731,1.27735,1.2771,1.2771,61.36
05.11.2012 12:40:00,1.2771,1.2772,1.27687,1.277,114.83
05.11.2012 12:41:00,1.277,1.27715,1.2769,1.27715,128.58
05.11.2012 12:42:00,1.27715,1.27725,1.27705,1.27709,128.46
05.11.2012 12:43:00,1.27709,1.27728,1.27707,1.27728,139.73
05.11.2012 12:44:00,1.27728,1.27742,1.27728,1.27736,133.29
05.11.2012 12:45:00,1.27736,1.27756,1.27728,1.2775,151.47
